,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo
99,1919,15,0.0,0.0,0.0,0.0,59,127,140
100,1918,19,0.0,0.0,0.0,0.0,73,106,139
101,1905,1,0.5,0.0,0.0,0.0,92,116,138
102,1883,19,0.0,0.0,0.0,0.0,76,117,139
103,1866,18,0.0,0.0,0.0,0.0,70,125,140
104,1856,57,0.0,0.0,0.0,0.0,94,133,141
105,1855,21,0.0,0.0,0.0,0.0,94,125,148
106,1850,18,0.0,0.0,0.0,0.0,104,132,139
107,1848,8,0.0,0.0,0.0,0.0,98,125,139
108,1850,79,19.5,0.6160103151282741,9.212974548339844,11.695479393005371,89,129,124
109,1916,63,4700.5,0.9396045779449181,48.93954086303711,142.98855590820312,93,122,136
110,1980,73,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,88,127,136
111,1958,77,17.5,0.8372668988289786,3.8946120738983154,7.122625827789307,87,125,137
112,1949,69,78.0,0.7873028863589926,9.183747291564941,14.894984245300293,48,44,86
113,1940,71,101.0,0.9078946908587212,9.182645797729492,21.905254364013672,54,77,92
114,1929,78,29.0,0.758060218819738,6.261445999145508,9.600727081298828,75,120,131
115,1910,50,14.0,0.9258201023032829,3.0237157344818115,8.0,97,126,135
116,1889,58,246.0,0.8217952601013031,14.744885444641113,25.878076553344727,84,88,99
117,1879,68,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,104,126,132
118,1873,54,108.0,0.5923719420214346,11.697016716003418,14.518468856811523,96,124,135
119,1827,18,0.0,0.0,0.0,0.0,82,124,136
120,1825,46,24.5,0.9147338838568221,5.033814430236816,12.458184242248535,99,127,138
121,1820,30,27.5,0.6607855553067028,7.170849323272705,9.553811073303223,100,129,136
122,1815,37,0.0,0.0,0.0,0.0,93,132,140
123,1816,21,10.5,0.6737331802903559,4.770303249359131,6.4552998542785645,104,121,142
124,1811,45,2.5,0.0,0.0,0.0,101,125,137
125,1802,32,2.0,0.8341491298252621,1.569299578666687,2.8453104496002197,101,127,139
126,1789,24,0.0,0.0,0.0,0.0,105,127,139
127,1776,23,0.0,0.0,0.0,0.0,93,119,131
128,1756,21,0.0,0.0,0.0,0.0,90,124,140
129,1756,40,0.0,0.0,0.0,0.0,73,102,123
130,1754,46,0.0,0.0,0.0,0.0,93,129,139
131,1753,48,0.5,0.0,0.0,0.0,94,123,138
132,1741,23,1.5,0.7855226108246932,0.05636202543973923,0.09107793122529984,79,119,137
133,1726,30,2.5,0.0,0.0,0.0,95,123,147
134,1722,23,0.0,0.0,0.0,0.0,85,134,142
135,1713,20,0.0,0.0,0.0,0.0,84,119,139
136,1708,25,0.0,0.0,0.0,0.0,79,127,139
137,1705,47,0.5,0.0,0.0,0.0,75,128,141
138,1705,31,0.0,0.0,0.0,0.0,86,119,139
139,1694,134,0.0,0.0,0.0,0.0,33,100,127
140,1687,80,0.0,0.0,0.0,0.0,40,122,140
141,1682,81,0.0,0.0,0.0,0.0,21,120,140
142,1678,9,0.0,0.0,0.0,0.0,75,130,139
143,1664,5,0.0,0.0,0.0,0.0,88,121,141
144,1655,5,0.0,0.0,0.0,0.0,75,116,139
145,1624,30,0.0,0.0,0.0,0.0,76,122,140
146,1619,36,0.0,0.0,0.0,0.0,61,130,139
147,1618,44,0.0,0.0,0.0,0.0,77,127,139
148,1610,9,0.0,0.0,0.0,0.0,76,116,145
149,1602,38,0.0,0.0,0.0,0.0,56,112,139
150,1603,46,40.0,0.9040894127671036,8.033458709716797,18.79860496520996,65,127,137
151,1585,19,0.0,0.0,0.0,0.0,89,128,142
152,1558,39,0.0,0.0,0.0,0.0,88,116,140
153,1555,42,0.0,0.0,0.0,0.0,76,122,139
154,1553,33,0.0,0.0,0.0,0.0,85,132,140
155,1552,25,1.5,0.658982985099491,0.9319426417350769,1.239025354385376,86,123,137
156,1548,39,0.5,0.0,0.0,0.0,93,125,144
157,1539,29,0.5,0.0,0.0,0.0,86,124,136
158,1536,32,0.0,0.0,0.0,0.0,86,125,139
159,1537,52,38.0,0.9546885104421462,4.863740921020508,16.342838287353516,98,124,140
160,1534,20,0.0,0.0,0.0,0.0,91,139,145
161,1511,18,0.0,0.0,0.0,0.0,66,132,143
162,1468,38,0.0,0.0,0.0,0.0,78,123,136
163,1466,45,0.0,0.0,0.0,0.0,95,131,139
164,1460,25,0.0,0.0,0.0,0.0,74,129,142
165,1453,22,0.0,0.0,0.0,0.0,75,122,143
166,1451,25,0.0,0.0,0.0,0.0,74,106,141
167,1451,32,6.0,0.6294658854848024,4.425978183746338,5.696033477783203,79,124,135
168,1443,36,0.5,0.0,0.0,0.0,81,147,142
169,1437,28,0.0,0.0,0.0,0.0,69,129,141
170,1425,10,0.0,0.0,0.0,0.0,86,134,140
171,1424,73,18.5,0.36995572832201207,8.554654121398926,9.207964897155762,89,136,140
172,1414,8,1.5,0.9101801654569396,0.002102803671732545,0.005076629109680653,75,117,136
173,1406,0,0.0,0.0,0.0,0.0,114,146,141
174,1397,29,6.0,0.9344400718836647,2.073032855987549,5.821156978607178,79,118,140
175,1392,0,0.0,0.0,0.0,0.0,115,140,142
176,1388,26,11.5,0.9787269429165674,3.2025296688079834,15.609366416931152,83,123,141
177,1335,6,911.5,0.9904209129624864,14.46298599243164,104.74262237548828,83,112,133
178,1275,5,2.0,0.8766096282374511,2.5020248889923096,5.19952917098999,76,110,139
179,1257,16,0.0,0.0,0.0,0.0,84,135,145
180,1238,15,0.0,0.0,0.0,0.0,110,121,141
181,719,304,0.0,0.0,0.0,0.0,70,129,144
182,713,303,0.0,0.0,0.0,0.0,71,141,141
183,685,1,0.5,0.0,0.0,0.0,103,115,125
184,666,2,10.5,0.7349598009914035,4.127500534057617,6.086765289306641,56,110,127
185,660,11,0.0,0.0,0.0,0.0,66,119,139
186,651,1,1.0,0.0,0.0,0.0,79,122,139
187,635,1,0.0,0.0,0.0,0.0,80,124,141
188,618,0,0.0,0.0,0.0,0.0,78,129,139
189,607,44,0.0,0.0,0.0,0.0,81,127,145
190,608,38,2.5,0.0,0.0,0.0,74,125,141
191,603,45,4.0,0.8463097618167916,3.7553822994232178,7.049831390380859,31,42,86
192,576,1,0.0,0.0,0.0,0.0,52,121,124
193,574,7,0.0,0.0,0.0,0.0,101,126,142
194,571,21,0.0,0.0,0.0,0.0,86,145,141
195,566,15,1.5,0.8943562301747084,4.495357036590576,10.048735618591309,92,123,138
196,557,11,0.0,0.0,0.0,0.0,76,121,134
197,553,15,0.0,0.0,0.0,0.0,94,125,140
198,541,16,0.0,0.0,0.0,0.0,84,126,138
199,544,30,56.5,0.8797601410798497,8.690994262695312,18.280750274658203,80,96,112
200,516,24,9.5,0.8632135519490223,3.4151713848114014,6.764873027801514,92,124,143
201,513,10,0.0,0.0,0.0,0.0,82,128,139
202,503,11,0.0,0.9061928201871765,1.1396209001541138,2.6950011253356934,73,124,140
203,483,33,0.0,0.0,0.0,0.0,104,129,139
204,484,18,3.5,0.5835345870392962,3.3025991916656494,4.066798210144043,96,122,136
205,482,13,0.0,0.0,0.0,0.0,98,125,139
206,479,12,0.0,0.0,0.0,0.0,96,128,141
207,471,39,0.0,0.0,0.0,0.0,96,127,136
208,473,14,1.0,0.7704336544650543,3.5159547328948975,5.515048503875732,75,79,97
209,465,13,0.0,0.0,0.0,0.0,102,131,140
210,451,20,35.0,0.5997691383935149,8.051883697509766,10.062677383422852,108,124,140
211,444,25,0.0,0.0,0.0,0.0,107,133,140
212,439,8,0.5,0.0,0.0,0.0,98,127,142
213,422,14,0.0,0.0,0.0,0.0,106,128,139
214,418,1,0.0,0.0,0.0,0.0,102,122,139
215,403,11,1.0,0.0,0.0,0.0,70,96,108
216,400,8,0.0,0.0,0.0,0.0,89,131,143
217,388,3371,0.0,0.0,0.0,0.0,115,128,142
218,359,23,1.5,0.0,0.0,0.0,95,143,145
219,355,28,0.0,0.0,0.0,0.0,77,122,143
220,323,1,0.0,0.0,0.0,0.0,97,133,139
221,314,25,3.5,0.0,0.0,0.0,85,131,138
222,308,17,0.0,0.0,0.0,0.0,78,123,144
223,288,14,2.5,0.0,0.0,0.0,92,137,140
224,282,24,0.0,0.0,0.0,0.0,95,121,135
225,272,21,6.5,0.8452586841633266,7.977810382843018,14.929729461669922,100,126,140
226,268,16,0.0,0.0,0.0,0.0,93,128,138
227,260,11,1.0,0.0,0.0,0.0,99,125,141
228,256,16,0.0,0.0,0.0,0.0,102,125,140
229,254,18,0.0,0.0,0.0,0.0,93,128,141
230,244,19,0.5,0.0,0.0,0.0,100,128,139
231,230,28,0.0,0.0,0.0,0.0,100,134,140
