,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo
0,2355,2917,1.5,0.6899140152715745,4.352742671966553,6.0129780769348145,57,77,97
1,2352,1392,0.0,0.0,0.0,0.0,56,99,125
2,2116,2951,1.5,0.0,0.0,0.0,70,117,127
3,2111,2947,1.0,0.0,0.0,0.0,50,104,126
4,1592,22,13244.5,0.9941050256657966,47.565643310546875,438.71087646484375,101,119,134
5,1659,10,171.0,0.8085801391455415,12.168508529663086,20.681163787841797,33,87,109
6,1580,31,70.5,0.6670952681082807,8.857513427734375,11.88971996307373,2,21,50
7,377,13,0.0,0.0,0.0,0.0,87,110,120
8,372,33,0.0,0.0,0.0,0.0,106,106,117
9,338,30,0.0,0.0,0.0,0.0,95,111,119
10,337,1,0.0,0.0,0.0,0.0,94,108,116
11,289,20,0.5,0.0,0.0,0.0,93,100,118
12,287,18,0.0,0.0,0.0,0.0,94,103,117
13,280,41,1.5,0.0,0.0,0.0,96,106,118
14,274,56,0.0,0.0,0.0,0.0,91,103,116
15,275,47,3.0,0.8164965590839762,1.632993221282959,2.8284270763397217,89,100,118
16,275,22,24.0,0.6979158389434327,6.048868179321289,8.446019172668457,92,102,117
17,267,29,2.5,0.9691967199481196,1.4949668645858765,6.069997787475586,85,104,117
18,262,46,3.0,0.9105484052280255,1.5895541906356812,3.845052480697632,90,99,117
19,259,12,0.0,0.0,0.0,0.0,90,109,117
20,257,33,0.0,0.0,0.0,0.0,94,103,117
21,256,44,0.0,0.0,0.0,0.0,94,103,118
22,252,16,0.0,0.0,0.0,0.0,80,97,119
23,250,42,0.0,0.0,0.0,0.0,91,99,117
24,249,45,0.0,0.0,0.0,0.0,85,104,116
25,241,47,1.0,0.0,0.0,0.0,87,99,116
26,239,34,13.0,0.886467711508224,3.5350728034973145,7.638603687286377,81,101,117
27,232,19,0.0,0.0,0.0,0.0,88,101,116
28,230,4,0.0,0.0,0.0,0.0,73,103,117
29,229,24,5.0,0.7861513519344983,2.2304883003234863,3.6090056896209717,94,108,125
30,219,55,0.0,0.0,0.0,0.0,89,101,116
31,221,62,1.5,0.9811073616831174,5.302544116973877,27.408418655395508,90,98,114
32,216,38,0.0,0.0,0.0,0.0,93,104,119
33,215,45,5.5,0.0,0.0,0.0,78,100,115
34,215,98,0.0,0.0,0.0,0.0,95,107,114
35,209,65,0.5,0.0,0.0,0.0,83,98,117
36,205,56,19.0,0.9062442176523713,7.304110527038574,17.27742576599121,92,102,112
37,208,87,32.5,0.8418883706325782,7.25333309173584,13.440767288208008,90,104,116
38,193,68,17.5,0.9751395573391803,4.397029399871826,19.842941284179688,100,109,123
39,186,91,0.0,0.0,0.0,0.0,88,113,118
40,186,62,1.0,0.0,0.0,0.0,98,112,119
41,184,86,0.0,0.08899208220892156,0.14477814733982086,0.14535486698150635,82,101,115
42,182,69,0.0,0.0,0.0,0.0,87,103,116
43,180,66,0.0,0.0,0.0,0.0,90,108,116
44,178,82,0.0,0.0,0.0,0.0,87,100,116
45,175,56,0.5,0.0,0.0,0.0,89,102,119
46,172,84,0.0,0.0,0.0,0.0,90,99,116
47,171,64,0.0,0.0,0.0,0.0,81,96,116
48,170,60,0.5,0.0,0.0,0.0,85,99,117
49,167,83,1.0,0.0,0.0,0.0,89,102,116
50,157,57,4.5,0.8672938911880039,2.2167840003967285,4.453193664550781,92,100,118
51,153,60,0.0,0.0,0.0,0.0,96,104,118
52,152,75,0.0,0.0,0.0,0.0,88,104,116
53,147,80,0.0,0.0,0.0,0.0,88,99,118
54,147,53,0.0,0.0,0.0,0.0,88,99,117
55,143,50,0.0,0.0,0.0,0.0,89,104,116
56,138,96,0.0,0.0,0.0,0.0,88,105,116
57,139,82,7.5,0.8219311941022587,6.763257026672363,11.873970985412598,95,101,111
58,135,38,0.5,0.0,0.0,0.0,92,100,117
59,136,65,47.5,0.8126596685451786,8.188738822937012,14.052165031433105,88,106,112
60,132,99,3.0,1.0,0.0,1.0,86,106,117
61,126,66,0.0,0.0,0.0,0.0,86,105,117
62,122,139,1.5,0.0,0.0,0.0,85,109,116
63,116,42,0.0,0.0,0.0,0.0,87,110,118
64,115,83,0.0,0.0,0.0,0.0,85,98,116
65,112,64,2.0,0.9712406753143563,1.3626235723495483,5.722907543182373,93,113,126
66,110,79,2.5,0.4388650233943666,5.019176483154297,5.585843563079834,77,96,105
67,109,61,0.0,0.0,0.0,0.0,96,112,116
68,107,47,0.0,0.0,0.0,0.0,90,103,116
69,102,71,0.0,0.0,0.0,0.0,77,114,117
70,100,141,0.0,0.0,0.0,0.0,89,107,116
71,99,86,11.0,0.7049810301852825,4.07535982131958,5.746206283569336,86,103,114
72,97,69,0.0,0.0,0.0,0.0,83,105,116
73,94,78,7.0,0.9354882385930943,3.0700461864471436,8.688207626342773,87,100,117
74,91,99,0.0,0.0,0.0,0.0,90,104,116
75,90,138,0.0,0.0,0.0,0.0,91,102,116
76,90,85,0.0,0.0,0.0,0.0,96,104,117
77,86,72,0.5,0.0,0.0,0.0,90,99,117
78,85,181,0.0,0.0,0.0,0.0,88,105,116
79,86,54,0.0,0.0,0.0,0.0,82,101,116
80,83,221,0.0,0.0,0.0,0.0,84,101,117
81,84,147,0.0,0.0,0.0,0.0,82,104,118
82,83,34,0.5,0.0,0.0,0.0,90,104,117
83,94,103,109.0,0.9134750029749387,11.036548614501953,27.12383460998535,91,104,111
84,82,137,1.0,0.0,0.0,0.0,85,98,118
85,80,148,0.0,0.0,0.0,0.0,80,104,116
86,77,217,0.0,0.0,0.0,0.0,79,102,116
87,76,96,0.0,0.0,0.0,0.0,97,102,118
88,76,116,0.0,0.0,0.0,0.0,91,104,116
89,73,81,0.0,0.0,0.0,0.0,89,95,116
90,72,55,0.0,0.0,0.0,0.0,95,103,116
91,71,224,0.0,0.0,0.0,0.0,88,102,116
92,71,78,0.0,0.0,0.0,0.0,84,97,118
93,70,156,0.5,0.0,0.0,0.0,69,97,113
94,70,135,0.5,0.0,0.0,0.0,83,101,118
95,69,118,0.0,0.0,0.0,0.0,80,102,117
96,70,106,0.5,0.0,0.0,0.0,80,106,114
97,68,137,0.0,0.0,0.0,0.0,79,100,116
98,67,149,0.0,0.0,0.0,0.0,67,102,117
99,65,188,0.0,0.0,0.0,0.0,81,100,115
100,62,145,0.0,0.0,0.0,0.0,71,96,117
101,58,185,0.0,0.0,0.0,0.0,75,106,116
102,57,165,3.5,0.9301829887137262,1.8689857721328735,5.0912699699401855,86,98,112
103,55,180,0.0,0.0,0.0,0.0,62,92,116
104,53,51,0.0,0.0,0.0,0.0,97,109,116
105,52,144,1.0,0.0,0.0,0.0,81,103,116
106,55,194,19.0,0.9749830797661002,13.19687557220459,59.37074661254883,88,104,118
107,49,172,0.0,0.0,0.0,0.0,84,107,124
108,47,187,0.0,0.0,0.0,0.0,87,99,116
109,45,278,0.0,0.0,0.0,0.0,89,106,117
110,46,152,0.5,0.0,0.0,0.0,71,94,119
111,45,200,1.0,0.0,0.0,0.0,73,99,113
112,44,89,0.0,0.0,0.0,0.0,94,110,117
113,43,284,0.0,0.0,0.0,0.0,86,100,116
114,45,245,2.5,0.9473627264442123,1.7558640241622925,5.484294414520264,85,104,122
115,44,237,0.5,0.0,0.0,0.0,43,53,71
116,41,366,0.0,0.0,0.0,0.0,85,105,117
117,43,259,11.5,0.9842103505190664,3.328064441680908,18.80232810974121,81,99,116
118,41,244,0.0,0.0,0.0,0.0,88,105,117
119,40,148,0.0,0.0,0.0,0.0,87,102,116
120,40,184,1.5,0.0,0.0,0.0,77,98,117
121,38,338,0.0,0.0,0.0,0.0,86,103,116
122,37,216,0.0,0.0,0.0,0.0,78,97,117
123,36,204,1.0,0.0,0.0,0.0,89,105,118
124,34,343,0.0,0.0,0.0,0.0,85,102,117
125,33,355,1.0,0.0,0.0,0.0,79,104,117
126,32,297,0.0,0.0,0.0,0.0,86,109,119
127,29,206,0.0,0.0,0.0,0.0,80,99,116
128,28,295,0.0,0.0,0.0,0.0,88,106,123
129,28,241,1.0,0.0,0.0,0.0,81,94,120
130,26,215,0.0,0.0,0.0,0.0,76,109,117
131,21,352,0.0,0.0,0.0,0.0,84,100,117
132,21,167,0.0,0.0,0.0,0.0,81,95,116
133,23,408,0.0,0.0,0.0,0.0,79,103,112
134,21,358,0.0,0.0,0.0,0.0,70,107,116
135,19,221,1.0,0.0,0.0,0.0,82,100,117
136,19,332,0.0,0.0,0.0,0.0,64,89,106
137,15,412,1.5,0.5989774206118436,1.6614419221878052,2.0748159885406494,86,97,111
138,14,456,4.0,0.0,0.0,0.0,88,104,116
139,11,460,1.0,0.0,0.0,0.0,83,110,117
140,7,513,0.0,0.0,0.0,0.0,85,102,116
141,4,518,3.5,0.0,0.0,0.0,89,105,119
142,3,259,0.0,0.0,0.0,0.0,71,101,116
143,3,242,0.0,0.0,0.0,0.0,92,99,116
144,0,766,0.0,0.0,0.0,0.0,91,108,116
145,2,605,3.5,0.0,0.0,0.0,87,99,116
146,0,550,0.0,0.0,0.0,0.0,87,102,118
147,1,480,0.0,0.0,0.0,0.0,84,96,110
148,1179,1476,6857494.5,0.6215462077392085,2741.267578125,3499.293212890625,117,136,157
149,2345,2073,52.0,0.6123725092032348,8.162413597106934,10.324728012084961,70,67,87
150,2346,1426,187.0,0.6824687653557655,13.993327140808105,19.14495086669922,15,59,67
151,2340,1372,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,55,70,91
152,2338,2422,64.0,0.707106816115585,8.746427536010742,12.369317054748535,74,73,93
153,2342,681,171.0,0.9694855249167411,8.316329956054688,33.92363357543945,62,63,79
154,2328,2252,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,20,16,48
155,2327,1170,117.0,0.7500206479292777,10.84245777130127,16.39283561706543,21,33,60
156,2326,2892,106.0,0.7890537395307837,9.826919555664062,15.996309280395508,46,78,94
157,2323,2905,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,41,51,72
158,2322,258,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,13,11,18
159,2322,119,68.5,0.4058054552887499,9.952481269836426,10.889411926269531,37,33,40
160,2319,2421,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,63,68,88
161,2316,2649,34.0,0.0,7.211102485656738,7.211102485656738,7,6,20
162,2315,184,34.0,0.0,7.211102485656738,7.211102485656738,31,33,42
163,2317,86,68.0,0.8313330068658823,7.6052093505859375,13.683980941772461,65,79,84
164,2317,19,119.0,0.9147877104373368,8.705801010131836,21.55248260498047,46,51,56
165,2309,1402,51.5,0.5990228402800175,7.933736801147461,9.908105850219727,8,31,51
166,2309,119,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,39,44,72
167,2309,1797,99.5,0.7661882739326071,9.653467178344727,15.022135734558105,22,25,43
168,2298,240,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,48,65,99
169,2298,2073,56.0,0.7254681232361747,7.558192729949951,10.98166275024414,66,74,89
170,2297,2905,102.0,0.6500077774684073,10.796110153198242,14.206762313842773,42,62,90
171,2313,1372,268.0,0.9935622086323569,7.067481517791748,62.38516616821289,47,70,75
172,2300,855,222.5,0.6549742802080184,15.173641204833984,20.080219268798828,7,23,55
173,2308,682,210.0,0.9757786119745219,8.905524253845215,40.70903778076172,63,75,82
174,2287,2839,34.0,0.0,7.211102485656738,7.211102485656738,68,73,84
175,2287,2072,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,58,80,92
176,2293,2421,142.0,0.8846517310304893,11.883492469787598,25.48725128173828,73,71,83
177,2284,1792,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,20,44,62
178,2287,1721,88.0,0.8708783959531964,8.24161148071289,16.768333435058594,63,70,84
179,2308,348,370.0,0.9961096923373958,7.232025146484375,82.068359375,50,59,69
180,2274,1693,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,0,2,24
181,2281,1373,118.0,0.8583950842412827,11.011955261230469,21.46625328063965,51,67,72
182,2274,23,34.0,0.0,7.211102485656738,7.211102485656738,80,87,103
183,2275,991,65.0,0.6670261442561936,8.65798282623291,11.620918273925781,14,22,37
184,2274,46,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,13,2,6
185,2273,840,105.0,0.6637118732582232,10.631629943847656,14.213630676269531,26,41,58
186,2272,2073,82.0,0.9379388716374829,6.733121871948242,19.41496467590332,63,76,101
187,2267,181,129.0,0.9101127182290882,8.720438003540039,21.045520782470703,68,89,85
188,2260,501,34.0,0.0,7.211102485656738,7.211102485656738,55,70,85
189,2257,818,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,50,71,85
190,2270,683,246.0,0.9862563712066115,8.18371868133545,49.53159713745117,65,69,84
191,2253,297,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,82,103,114
192,2257,271,222.5,0.8861984046169827,12.509428977966309,27.000364303588867,78,98,114
193,2269,1025,298.0,0.9782704222085701,11.169225692749023,53.87094497680664,60,70,90
194,2248,2803,471.0,0.9105591049611453,16.726905822753906,40.46385955810547,15,14,34
195,2242,274,56.0,0.7254681232361747,7.558192729949951,10.98166275024414,79,100,110
196,2253,1373,202.0,0.9211323758139501,13.82575511932373,35.51900863647461,52,67,88
197,2240,1025,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,63,71,83
198,2238,2073,34.0,0.0,7.211102485656738,7.211102485656738,64,74,90
