,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo
0,962,1,1.5,0.0,0.0,0.0,120,154,160
1,460,2545,0.0,0.0,0.0,0.0,14,123,167
2,449,2568,0.0,0.0,0.0,0.0,28,134,165
3,152,2943,0.0,0.0,0.0,0.0,144,157,165
4,129,2941,0.0,0.0,0.0,0.0,121,162,165
5,59,1,0.0,0.0,0.0,0.0,130,149,162
6,52,21,1.0,0.0,0.0,0.0,124,159,163
7,50,178,0.0,0.0,0.0,0.0,103,155,161
8,40,20,236.0,0.7075020096093034,18.066730499267578,25.564512252807617,136,152,165
9,22,3,0.0,0.0,0.0,0.0,135,151,163
10,9,86,0.0,0.0,0.0,0.0,117,148,163
11,9,80,0.0,0.0,0.0,0.0,104,149,163
12,6,95,0.0,0.0,0.0,0.0,120,149,163
13,181,2356,140756.0,0.5931459082081275,420.7372131347656,522.59326171875,147,168,189
14,247,2323,93.0,0.24518310679291552,11.400094032287598,11.759016990661621,75,115,144
15,225,2196,34.0,0.0,7.211102485656738,7.211102485656738,83,106,132
16,224,2242,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,111,124,138
17,171,2263,34.0,0.0,7.211102485656738,7.211102485656738,6,15,58
18,156,2394,47.0,0.0,8.602325439453125,8.602325439453125,47,66,103
19,146,2237,34.0,0.0,7.211102485656738,7.211102485656738,103,117,136
20,141,2359,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,71,95,123
21,143,2476,95.5,0.8790420366429953,8.690503120422363,18.228857040405273,44,75,128
22,126,2236,34.0,0.0,7.211102485656738,7.211102485656738,86,98,126
23,132,2323,1091.5,0.753578634784288,31.980993270874023,48.65081787109375,5,20,46
24,101,2450,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,65,56,96
25,65,2387,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,113,119,138
26,51,2310,34.0,0.0,7.211102485656738,7.211102485656738,61,65,93
27,22,2352,72.5,0.49318803636075403,9.862834930419922,11.33759880065918,22,89,122
28,14,2360,34.0,0.0,7.211102485656738,7.211102485656738,19,40,91
29,10,2261,101.0,0.5909042732881435,10.924527168273926,13.541543006896973,19,17,53
30,1,207,0.0,0.0,0.0,0.0,102,153,163
31,1,198,0.0,0.0,0.0,0.0,109,152,161
32,1053,1620,6620807.0,0.809143004564134,2293.9619140625,3903.873291015625,114,172,194
33,2101,3222,34.0,0.0,7.211102485656738,7.211102485656738,112,123,137
34,2099,3143,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,105,116,138
35,2097,369,72.0,0.7147295670602657,8.870248794555664,12.682638168334961,62,55,106
36,2094,3223,59.0,0.2510379611705595,9.329404830932617,9.638041496276855,113,118,133
37,2093,869,100.5,0.6574704276670126,10.918351173400879,14.490558624267578,14,67,110
38,2092,174,56.0,0.7254681232361747,7.558192729949951,10.98166275024414,96,103,130
39,2088,2986,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,96,114,131
40,2090,99,98.0,0.9386808605469746,7.185222148895264,20.839582443237305,128,129,143
41,2085,1609,82.5,0.7069911611129918,9.242561340332031,13.068819046020508,11,58,110
42,2087,277,372.0,0.8159990154967949,18.35273551940918,31.749210357666016,0,22,66
43,2082,130,50.0,0.6254302800066871,7.545398235321045,9.67011547088623,55,61,98
44,2083,1227,83.5,0.8557607418020313,8.078149795532227,15.61382007598877,13,43,70
45,2084,549,199.5,0.5357832814550928,15.910296440124512,18.843124389648438,13,24,51
46,2077,3188,52.0,0.6123725092032348,8.162413597106934,10.324728012084961,94,108,127
47,2079,3142,62.5,0.5171554509945592,8.651549339294434,10.108231544494629,85,101,118
48,2078,775,70.0,0.7108274262971362,8.860485076904297,12.59725284576416,88,96,126
49,2079,441,56.0,0.7254681232361747,7.558192729949951,10.98166275024414,31,29,59
50,2076,3208,34.0,0.0,7.211102485656738,7.211102485656738,96,108,126
51,2077,400,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,60,54,85
